age,gender,height_cm,current_weight,bmi,goal,daily_water_ml,weekly_workouts,weekly_workout_duration,weekly_calories_burned,predicted_weight_after_30_days
27,Female,173,127.3,42.5,Maintenance,4061,7,763,2639,127.5
38,Female,149,119.7,53.9,Weight Loss,4961,7,595,3325,117.1
53,Female,157,91.5,37.1,Maintenance,1788,1,77,511,91.2
29,Male,145,53.1,25.3,General Fitness,1256,2,228,1682,52.6
44,Female,167,61.5,22.1,Weight Loss,2860,1,39,609,59.8
57,Female,184,105.6,31.2,Weight Loss,3804,3,210,2970,102.7
19,Male,147,78.5,36.3,Muscle Gain,3645,7,784,3409,80.0
30,Male,147,123.6,57.2,Maintenance,4654,0,0,0,123.9
49,Female,151,135.0,59.2,Weight Loss,2292,0,0,0,133.4
48,Male,180,120.6,37.2,Muscle Gain,4564,7,490,4200,120.5
33,Female,179,77.8,24.3,Maintenance,4251,5,475,2080,78.9
49,Female,159,118.9,47.0,General Fitness,3838,5,400,4485,118.4
49,Male,184,75.1,22.2,General Fitness,2172,3,273,2007,74.6
51,Female,147,56.7,26.2,Maintenance,4589,2,118,452,56.3
28,Female,173,43.3,14.5,Weight Loss,2171,1,69,929,41.9
27,Male,174,78.6,26.0,Weight Loss,4915,7,483,4347,75.6
32,Male,183,130.4,38.9,General Fitness,1679,0,0,0,130.1
34,Male,162,63.9,24.3,General Fitness,4080,7,637,4900,64.6
57,Male,155,60.7,25.3,Weight Loss,2201,1,44,853,59.4
35,Female,187,137.0,39.2,Maintenance,3843,3,96,1572,137.6
26,Male,193,42.5,11.4,General Fitness,4466,2,106,1046,42.4
42,Male,182,118.6,35.8,Weight Loss,4699,6,420,4596,114.4
57,Male,184,72.1,21.3,Maintenance,1607,1,92,902,72.0
31,Male,145,43.7,20.8,Muscle Gain,1330,7,539,3388,44.6
42,Male,173,131.8,44.0,Maintenance,4927,2,180,576,131.2
39,Female,154,54.0,22.8,Weight Loss,3103,6,462,1464,52.5
47,Male,172,95.2,32.2,Maintenance,2230,0,0,0,95.3
37,Female,175,67.4,22.0,Weight Loss,3152,1,85,697,65.8
38,Male,163,46.5,17.5,General Fitness,1546,4,420,2788,46.0
49,Male,147,45.0,20.8,Muscle Gain,4792,0,0,0,46.5
38,Male,180,51.6,15.9,General Fitness,1792,2,214,1980,52.3
52,Male,187,47.1,13.5,General Fitness,2904,3,141,2577,47.5
49,Male,159,116.1,45.9,Weight Loss,2378,4,452,1376,114.2
47,Male,177,88.6,28.3,Weight Loss,2682,5,260,3585,84.9
56,Male,185,74.3,21.7,Weight Loss,1488,1,98,281,72.4
29,Male,187,81.8,23.4,Weight Loss,2822,7,658,5838,78.1
58,Female,195,132.9,35.0,General Fitness,4664,5,375,1830,132.5
35,Male,189,131.1,36.7,Weight Loss,2526,0,0,0,130.9
38,Female,170,111.6,38.6,Weight Loss,4121,7,763,2128,109.3
30,Male,160,128.5,50.2,General Fitness,4158,1,98,687,128.1
38,Female,180,72.0,22.2,Muscle Gain,4774,1,51,949,73.4
25,Male,177,78.1,24.9,Muscle Gain,3350,4,376,2036,79.6
57,Male,164,101.4,37.7,Maintenance,4072,4,164,1124,101.7
24,Male,157,102.4,41.5,General Fitness,4452,4,192,1172,102.5
40,Female,177,88.2,28.2,Weight Loss,1649,4,204,2080,86.0
49,Female,149,80.1,36.1,Maintenance,1647,3,252,1626,79.4
28,Female,181,138.6,42.3,Muscle Gain,2385,7,637,6972,140.3
39,Female,158,122.1,48.9,Muscle Gain,1380,7,560,3920,123.4
39,Male,171,83.5,28.6,General Fitness,4737,2,154,530,83.9
60,Male,167,112.7,40.4,Weight Loss,3209,4,184,3292,109.4
42,Male,158,67.0,26.8,Weight Loss,3066,0,0,0,66.5
39,Female,184,50.0,14.8,Maintenance,4021,7,399,4200,50.0
45,Male,148,75.2,34.3,Muscle Gain,2863,1,96,370,75.8
46,Female,183,80.3,24.0,Maintenance,3290,5,170,4790,79.9
30,Female,196,41.7,10.9,Maintenance,1128,4,356,3108,41.7
35,Female,163,121.5,45.7,Maintenance,2199,0,0,0,121.5
19,Female,191,75.9,20.8,Weight Loss,1408,3,330,2073,73.9
46,Female,198,98.0,25.0,Muscle Gain,1791,0,0,0,98.8
38,Male,148,47.4,21.6,Maintenance,3990,5,375,1000,47.4
32,Female,174,57.5,19.0,Muscle Gain,2107,5,290,1750,57.2
44,Female,163,129.0,48.6,Muscle Gain,4447,0,0,0,129.8
48,Male,175,100.9,32.9,Maintenance,1221,3,234,1371,100.2
32,Female,175,135.0,44.1,Maintenance,4396,7,504,6643,134.7
40,Female,153,139.9,59.8,General Fitness,4522,5,485,4135,138.5
41,Male,197,77.2,19.9,Weight Loss,2439,3,318,2361,74.8
30,Male,157,69.9,28.4,Muscle Gain,4728,1,49,994,71.2
39,Male,158,125.8,50.4,Maintenance,3492,4,188,872,124.8
60,Female,199,139.9,35.3,Maintenance,1617,5,465,4975,140.6
54,Male,190,103.0,28.5,Muscle Gain,2348,0,0,0,103.1
50,Male,198,119.5,30.5,Maintenance,3570,7,497,3990,119.9
20,Male,154,118.2,49.8,General Fitness,3213,2,82,1380,118.8
36,Female,192,75.5,20.5,Muscle Gain,3755,2,236,880,77.7
40,Male,175,97.4,31.8,Maintenance,3790,6,648,1236,96.7
46,Female,181,123.3,37.6,Muscle Gain,4730,1,65,748,124.9
47,Female,167,108.8,39.0,Maintenance,4942,2,74,1140,108.5
56,Male,171,42.1,14.4,Maintenance,4309,1,57,864,42.7
42,Female,150,73.7,32.8,Weight Loss,4056,7,805,6692,69.7
54,Female,170,54.4,18.8,Muscle Gain,3960,4,356,1796,55.2
25,Male,146,63.3,29.7,Weight Loss,2036,6,468,1884,60.8
59,Female,189,130.5,36.5,Maintenance,4802,1,67,752,131.6
33,Male,157,43.7,17.7,Muscle Gain,4328,3,327,1608,43.5
25,Female,195,62.0,16.3,Muscle Gain,4585,3,261,2319,62.6
18,Female,194,71.0,18.9,General Fitness,4281,6,204,5280,71.8
22,Male,163,101.7,38.3,General Fitness,4555,7,525,2387,101.6
20,Male,145,93.4,44.4,Maintenance,3412,7,728,4788,92.4
18,Female,184,61.8,18.3,Maintenance,1224,3,93,1911,62.5
21,Female,176,56.4,18.2,Maintenance,4043,5,590,4845,56.2
57,Male,166,63.7,23.1,Maintenance,3241,3,162,861,64.3
52,Female,192,90.3,24.5,General Fitness,4267,3,90,1986,90.7
49,Female,173,67.1,22.4,Muscle Gain,4471,7,686,1729,67.6
59,Female,146,134.8,63.2,Weight Loss,4843,3,207,2040,132.9
51,Female,184,86.4,25.5,Muscle Gain,1056,3,291,2169,87.8
60,Male,182,45.9,13.9,Muscle Gain,4696,5,490,2050,46.2
42,Male,192,112.9,30.6,General Fitness,3260,3,294,1329,112.4
27,Male,199,72.9,18.4,Muscle Gain,4350,3,135,1314,72.6
38,Male,155,105.3,43.8,Muscle Gain,4827,4,332,1584,106.5
56,Male,161,68.0,26.2,Maintenance,2403,7,644,6776,67.1
44,Male,199,97.1,24.5,Weight Loss,1116,7,329,3038,95.2
44,Female,195,117.2,30.8,Muscle Gain,4969,5,230,1930,117.3
19,Male,187,132.8,38.0,Muscle Gain,4522,3,333,2736,133.0
58,Female,152,66.1,28.6,Weight Loss,3646,1,33,814,64.0
30,Female,166,73.5,26.7,Maintenance,1409,6,228,2934,73.3
26,Female,148,86.4,39.4,General Fitness,2916,7,420,2940,86.5
53,Male,155,132.7,55.2,General Fitness,4438,4,136,2784,132.2
39,Female,152,130.1,56.3,Muscle Gain,4846,5,225,3475,131.1
59,Male,153,49.0,20.9,Maintenance,3859,2,142,1002,48.2
43,Female,170,53.2,18.4,General Fitness,3976,0,0,0,52.5
29,Female,146,89.6,42.0,General Fitness,4184,5,545,3245,89.7
34,Male,160,50.7,19.8,General Fitness,2983,6,678,3666,49.8
31,Female,175,74.6,24.4,General Fitness,4235,4,236,3240,74.6
31,Female,150,54.8,24.4,General Fitness,3051,3,165,1332,54.6
51,Female,197,103.6,26.7,Muscle Gain,4701,4,312,2048,103.9
37,Female,165,134.9,49.6,General Fitness,1022,0,0,0,135.0
28,Male,170,139.7,48.3,Muscle Gain,3968,0,0,0,140.1
33,Female,163,77.5,29.2,Weight Loss,1744,5,220,1335,76.5
48,Female,172,99.9,33.8,Weight Loss,1601,3,243,1773,97.7
23,Male,152,125.6,54.4,Maintenance,4035,3,201,1545,125.8
36,Female,158,51.7,20.7,Muscle Gain,4838,1,67,264,52.6
54,Female,168,109.0,38.6,Maintenance,4163,0,0,0,108.7
21,Female,192,80.9,21.9,Weight Loss,3516,3,147,2220,77.4
21,Female,188,60.6,17.1,Weight Loss,1969,0,0,0,59.7
37,Male,181,80.3,24.5,Weight Loss,2178,7,511,5369,76.7
27,Female,200,47.6,11.9,Weight Loss,2842,1,118,411,46.4
41,Male,170,109.5,37.9,General Fitness,3674,2,184,1898,109.2
52,Female,175,65.3,21.3,Weight Loss,3254,0,0,0,65.0
43,Female,200,71.1,17.8,General Fitness,4061,7,357,2639,71.1
54,Female,195,52.1,13.7,General Fitness,1080,7,707,4354,52.7
55,Male,176,126.5,40.8,Maintenance,3662,7,581,6048,126.1
38,Female,194,89.3,23.7,General Fitness,1482,1,38,661,90.0
57,Female,185,97.2,28.4,Maintenance,3639,1,44,243,97.1
56,Male,146,96.9,45.5,General Fitness,2430,6,462,3780,96.1
38,Male,169,81.0,28.4,General Fitness,4174,1,49,367,81.2
27,Male,196,59.3,15.4,Weight Loss,4311,4,256,1944,57.3
55,Male,188,114.5,32.4,Muscle Gain,4336,5,480,4540,115.6
21,Female,146,52.7,24.7,General Fitness,1032,3,267,1608,52.8
37,Female,186,50.4,14.6,Muscle Gain,3082,0,0,0,51.1
34,Female,145,111.0,52.8,Muscle Gain,2272,5,510,1850,111.2
24,Female,180,60.9,18.8,Muscle Gain,4047,4,332,1528,60.9
21,Male,156,70.7,29.1,General Fitness,4121,0,0,0,70.5
46,Female,153,87.5,37.4,Muscle Gain,1279,5,205,3475,87.0
31,Female,180,84.9,26.2,General Fitness,3007,4,468,3116,84.3
20,Female,185,110.9,32.4,Weight Loss,4825,7,336,5271,106.6
41,Female,172,102.3,34.6,General Fitness,3199,3,327,927,102.9
54,Male,182,104.4,31.5,Maintenance,2682,1,55,752,104.7
33,Female,177,111.4,35.6,Weight Loss,2574,5,260,2525,108.3
21,Female,186,69.3,20.0,Muscle Gain,1700,7,434,1435,69.3
41,Female,190,72.2,20.0,Muscle Gain,4608,5,430,4460,72.8
51,Male,166,83.8,30.4,Maintenance,2779,7,413,3304,82.7
47,Male,169,70.7,24.8,Weight Loss,3782,0,0,0,68.8
35,Female,162,138.5,52.8,Maintenance,2018,1,103,384,138.2
36,Female,150,121.4,54.0,Muscle Gain,2253,6,390,5130,122.6
48,Female,162,56.5,21.5,General Fitness,1664,3,345,897,57.5
36,Male,196,40.6,10.6,Muscle Gain,3970,7,504,2023,41.4
36,Female,160,44.3,17.3,Maintenance,2311,0,0,0,44.6
39,Female,159,64.4,25.5,General Fitness,2418,2,164,876,63.7
41,Female,192,51.4,13.9,General Fitness,3500,2,232,1846,52.3
29,Male,152,93.3,40.4,Muscle Gain,3667,2,178,560,94.5
47,Female,157,125.8,51.0,General Fitness,2056,3,198,942,126.4
55,Female,199,113.7,28.7,Weight Loss,2938,7,630,3325,111.0
48,Male,187,61.6,17.6,Muscle Gain,2386,2,164,558,62.5
53,Male,151,79.9,35.0,Muscle Gain,2134,5,205,3835,80.6
36,Female,161,90.8,35.0,Weight Loss,2144,6,384,2268,88.8
53,Male,194,121.0,32.2,Muscle Gain,3063,0,0,0,122.3
47,Female,176,123.9,40.0,Maintenance,1738,6,402,4560,124.0
50,Male,166,131.0,47.5,Maintenance,2546,6,318,4248,131.0
35,Male,199,90.9,23.0,Muscle Gain,3762,6,660,2754,92.9
45,Female,195,109.4,28.8,Weight Loss,3761,5,345,4925,105.5
28,Female,157,51.2,20.8,General Fitness,3145,2,188,982,50.7
50,Female,191,96.5,26.5,Weight Loss,3163,6,516,2940,93.0
34,Male,167,64.9,23.3,Maintenance,4012,7,707,5187,64.9
23,Female,198,83.2,21.2,Muscle Gain,2494,6,648,5778,83.8
21,Female,173,103.4,34.5,Weight Loss,2462,0,0,0,102.9
37,Female,166,65.7,23.8,General Fitness,4352,7,826,5551,65.7
44,Female,145,45.2,21.5,General Fitness,1348,5,505,3020,45.8
32,Female,173,41.0,13.7,General Fitness,1231,3,126,2037,40.7
23,Male,192,42.2,11.4,General Fitness,2996,1,108,524,41.8
31,Female,149,40.8,18.4,Weight Loss,4182,5,175,2900,40.7
28,Female,179,51.0,15.9,General Fitness,4423,4,400,3520,51.1
56,Male,199,63.9,16.1,Maintenance,4083,2,152,1018,63.6
26,Female,154,62.1,26.2,General Fitness,4031,4,292,2168,62.1
43,Female,163,138.7,52.2,Maintenance,4559,7,427,6083,138.7
33,Female,181,70.6,21.6,Weight Loss,2556,1,32,674,69.4
22,Female,151,52.7,23.1,Maintenance,3686,3,249,765,52.3
27,Female,190,94.6,26.2,Weight Loss,3332,5,565,3120,92.1
20,Male,179,125.8,39.3,General Fitness,2970,3,321,1023,126.0
30,Male,189,107.8,30.2,Muscle Gain,2656,1,67,860,108.0
60,Male,157,69.6,28.2,Maintenance,3683,4,132,2300,70.4
47,Female,154,96.2,40.6,Maintenance,2942,5,540,2125,96.2
23,Male,146,111.5,52.3,Muscle Gain,1544,2,92,1346,112.6
34,Female,150,112.8,50.1,Weight Loss,1391,0,0,0,111.9
36,Female,152,106.7,46.2,Weight Loss,2193,6,702,5334,103.1
59,Female,180,127.1,39.2,General Fitness,3124,3,195,1692,127.1
52,Male,169,127.0,44.5,Maintenance,2988,7,609,2058,127.4
43,Male,188,97.9,27.7,Weight Loss,1296,1,70,707,97.1
22,Male,191,83.0,22.8,General Fitness,3377,5,185,3820,83.7
46,Female,184,104.2,30.8,Weight Loss,2086,7,672,5467,99.9
54,Male,151,121.8,53.4,Muscle Gain,1269,4,236,1500,123.4
37,Female,190,40.6,11.2,Muscle Gain,3263,2,230,1686,42.4
38,Male,167,139.2,49.9,Muscle Gain,4261,7,567,4249,140.5
27,Male,163,58.3,21.9,General Fitness,2098,4,216,2756,57.8
22,Female,190,87.0,24.1,Maintenance,2709,2,162,1316,88.0
53,Female,166,127.2,46.2,Muscle Gain,1509,5,440,3060,127.7
23,Male,157,62.5,25.4,Muscle Gain,3626,0,0,0,63.4
43,Male,165,87.7,32.2,Weight Loss,2116,0,0,0,87.0
21,Male,145,53.3,25.4,Muscle Gain,2076,7,231,2884,54.1
56,Female,163,79.5,29.9,Maintenance,1495,6,516,5532,78.8
56,Female,177,57.7,18.4,General Fitness,3995,7,644,3808,57.4
52,Male,148,76.4,34.9,Muscle Gain,1093,1,61,775,78.2
18,Male,186,77.3,22.3,General Fitness,1624,1,116,746,77.8
41,Female,147,139.3,64.5,General Fitness,1228,2,224,1446,138.8
53,Male,171,139.5,47.7,Maintenance,3297,2,216,1090,140.0
23,Female,196,51.5,13.4,Weight Loss,2414,2,160,894,50.0
58,Female,185,112.6,32.9,Weight Loss,1720,7,644,5761,107.5
48,Female,179,45.2,14.1,General Fitness,1979,2,218,1048,44.7
37,Female,172,43.0,14.5,Muscle Gain,3229,6,696,3996,43.9
41,Female,150,50.5,22.4,General Fitness,1266,7,210,2030,50.4
42,Female,150,136.5,60.7,Weight Loss,2003,5,240,2465,133.9
53,Male,199,134.1,33.9,Muscle Gain,1280,5,320,3700,135.5
38,Female,188,59.4,16.8,Weight Loss,1961,0,0,0,57.9
47,Female,167,56.2,20.2,Maintenance,3714,1,110,858,55.4
41,Male,177,64.1,20.5,Weight Loss,2106,6,330,5088,60.3
59,Female,160,91.6,35.8,Muscle Gain,2209,1,42,868,92.8
47,Male,168,97.0,34.4,Muscle Gain,4932,3,345,1374,98.4
39,Female,149,62.2,28.0,General Fitness,4722,1,52,286,62.2
45,Male,185,115.7,33.8,Muscle Gain,4638,1,64,357,116.5
24,Male,186,71.0,20.5,Maintenance,3578,4,164,2772,71.2
52,Female,157,132.2,53.6,Weight Loss,2371,4,152,1540,129.6
45,Female,191,105.7,29.0,General Fitness,1422,6,642,3258,105.6
31,Female,156,83.6,34.4,General Fitness,4028,3,288,2820,83.8
27,Female,149,119.0,53.6,Muscle Gain,4929,2,146,1430,119.2
33,Male,181,121.8,37.2,Maintenance,3005,3,270,2304,121.4
33,Male,175,69.0,22.5,General Fitness,1453,3,150,2124,69.0
48,Male,172,74.0,25.0,Maintenance,3314,0,0,0,74.1
59,Female,172,133.6,45.2,Maintenance,1506,5,200,1075,134.3
42,Male,174,56.5,18.7,Weight Loss,2165,1,74,724,54.6
30,Female,162,44.2,16.8,Weight Loss,1315,0,0,0,43.3
23,Female,188,85.4,24.2,Weight Loss,2699,6,690,2298,83.0
26,Male,171,120.1,41.1,Maintenance,1763,5,560,2540,120.7
53,Female,179,117.2,36.6,Weight Loss,2255,6,390,4242,114.6
60,Male,170,132.0,45.7,General Fitness,4368,1,66,480,132.3
37,Female,183,93.3,27.9,General Fitness,1897,6,624,2142,92.9
35,Male,193,50.0,13.4,Muscle Gain,1952,3,210,1677,50.7
60,Female,195,98.9,26.0,Maintenance,3922,7,742,3206,99.4
38,Male,162,117.8,44.9,Weight Loss,2595,1,78,356,117.1
21,Male,177,49.3,15.7,General Fitness,3963,2,88,1248,49.9
50,Female,169,57.3,20.1,Maintenance,3069,2,84,1610,57.8
44,Female,200,41.2,10.3,Maintenance,1383,3,246,2934,40.9
24,Male,175,99.4,32.5,Weight Loss,4197,6,372,1320,98.1
23,Female,181,128.7,39.3,Maintenance,1102,4,404,3352,129.3
32,Female,146,107.1,50.2,Weight Loss,1899,2,122,1092,104.9
35,Female,177,138.2,44.1,Weight Loss,3780,3,231,1647,136.1
49,Male,183,46.3,13.8,Weight Loss,1109,0,0,0,44.3
28,Male,187,130.3,37.3,Maintenance,4641,4,344,2548,130.4
37,Female,187,121.4,34.7,Maintenance,4543,2,182,1310,121.5
41,Female,176,71.4,23.1,Weight Loss,4136,7,777,5761,67.9
32,Male,162,137.4,52.4,Maintenance,2495,3,348,2835,137.8
24,Female,161,68.8,26.5,Weight Loss,4641,3,93,2235,67.3
38,Male,178,128.9,40.7,Muscle Gain,1669,0,0,0,129.5
59,Female,183,128.1,38.3,Maintenance,4147,7,315,4557,127.9
43,Female,151,115.8,50.8,Maintenance,4090,0,0,0,116.4
31,Female,186,96.3,27.8,Muscle Gain,1383,4,192,2960,97.3
54,Male,198,52.0,13.3,Muscle Gain,3020,5,305,3440,52.9
38,Male,197,93.2,24.0,Muscle Gain,3237,2,192,1684,93.0
35,Male,179,75.7,23.6,Weight Loss,1761,3,183,2166,71.8
22,Male,174,119.2,39.4,Weight Loss,3407,4,456,2364,116.9
20,Female,156,115.8,47.6,General Fitness,3922,6,324,4638,115.5
40,Female,179,131.1,40.9,Muscle Gain,1885,4,328,2232,132.4
43,Male,155,41.5,17.3,General Fitness,4523,6,660,1392,41.4
54,Female,188,120.9,34.2,Weight Loss,3126,0,0,0,119.5
41,Female,148,133.8,61.1,Maintenance,3643,3,186,2397,133.2
36,Male,169,118.9,41.6,Muscle Gain,4243,1,60,609,120.6
42,Female,192,53.0,14.4,Maintenance,2235,5,325,3640,53.8
38,Female,176,48.1,15.5,Weight Loss,3933,5,580,1450,46.8
29,Male,164,42.1,15.7,Muscle Gain,2014,0,0,0,42.4
58,Female,194,102.9,27.3,General Fitness,2468,6,468,2988,103.0
50,Female,175,103.0,33.6,General Fitness,3196,3,219,2058,103.4
21,Female,148,138.7,63.3,Weight Loss,1009,7,539,6748,133.3
59,Male,198,79.8,20.4,Maintenance,2565,4,236,1088,80.5
24,Male,182,73.2,22.1,Weight Loss,1791,5,210,4585,69.5
39,Female,197,102.4,26.4,Maintenance,2967,4,288,1840,101.1
50,Female,191,122.6,33.6,Weight Loss,2078,2,90,1778,119.7
34,Female,145,133.7,63.6,General Fitness,3919,1,55,511,134.2
41,Male,147,120.3,55.7,Maintenance,2662,0,0,0,120.6
51,Male,181,82.7,25.2,Weight Loss,3227,6,456,5304,78.8
45,Male,166,103.5,37.6,Muscle Gain,1743,5,330,1820,104.5
60,Female,161,125.6,48.5,General Fitness,3428,7,224,3738,126.4
58,Female,158,89.1,35.7,General Fitness,4493,2,110,1402,89.0
56,Female,185,61.7,18.0,Muscle Gain,1450,7,308,6517,62.3
39,Female,179,57.0,17.8,Weight Loss,2116,2,190,720,55.8
34,Female,157,40.0,16.2,Maintenance,4591,1,57,589,40.4
51,Male,179,111.8,34.9,General Fitness,4484,0,0,0,111.8
23,Female,187,51.1,14.6,Weight Loss,4830,0,0,0,49.4
23,Female,146,64.4,30.2,Muscle Gain,3441,4,292,1164,65.9
51,Female,200,69.8,17.4,Maintenance,4012,0,0,0,69.5
18,Male,191,96.0,26.3,Weight Loss,2354,2,218,1040,94.0
27,Female,157,79.8,32.4,Weight Loss,2731,4,132,1776,77.0
38,Male,195,107.5,28.3,General Fitness,3480,0,0,0,107.6
22,Male,198,45.6,11.6,General Fitness,4001,6,438,4536,46.1
19,Male,160,52.4,20.5,Maintenance,2186,6,450,5400,52.2
39,Male,162,89.9,34.3,Weight Loss,3993,1,113,602,88.8
19,Male,151,73.7,32.3,Muscle Gain,4111,2,110,1144,74.1
27,Female,189,69.6,19.5,Muscle Gain,3813,3,126,1455,70.0
51,Female,180,46.7,14.4,Maintenance,1907,1,98,640,46.8
33,Male,185,129.6,37.9,Weight Loss,3132,1,73,794,128.5
56,Male,174,109.2,36.1,General Fitness,3831,0,0,0,109.4
39,Male,186,52.2,15.1,Weight Loss,4661,4,320,2204,50.4
29,Female,185,46.5,13.6,General Fitness,2748,7,294,2926,45.6
41,Female,151,137.5,60.3,Muscle Gain,3863,4,280,2736,138.4
57,Male,159,108.1,42.8,Maintenance,4838,6,240,3852,108.0
55,Female,184,81.7,24.1,Maintenance,2114,2,132,834,81.0
27,Female,163,110.2,41.5,Maintenance,2507,0,0,0,110.5
52,Male,187,115.6,33.1,General Fitness,4456,4,244,1064,114.4
49,Male,181,118.0,36.0,Muscle Gain,4264,6,444,1380,118.8
24,Female,146,87.8,41.2,Muscle Gain,2276,5,235,2605,88.5
38,Female,186,83.0,24.0,Maintenance,2813,7,756,3143,83.0
37,Female,192,41.1,11.1,Maintenance,2678,3,147,2295,41.0
43,Male,199,132.7,33.5,General Fitness,2267,5,365,1045,132.2
21,Male,157,100.3,40.7,General Fitness,4795,7,455,6139,100.2
39,Male,184,60.3,17.8,Weight Loss,3754,0,0,0,59.4
32,Female,185,132.0,38.6,General Fitness,3317,0,0,0,132.6
57,Female,187,131.5,37.6,Weight Loss,3888,4,248,2972,129.3
38,Male,187,138.9,39.7,Maintenance,4090,7,777,5096,138.4
32,Female,199,127.4,32.2,Muscle Gain,2063,1,48,570,128.7
39,Male,175,139.8,45.6,General Fitness,2633,0,0,0,140.2
45,Female,160,64.5,25.2,Muscle Gain,3563,1,61,345,65.5
31,Male,186,124.2,35.9,General Fitness,2056,2,102,1572,124.2
44,Female,200,122.3,30.6,General Fitness,4882,6,180,5010,121.6
58,Female,188,63.1,17.9,Weight Loss,4748,2,166,502,61.6
57,Male,150,49.8,22.1,General Fitness,1449,7,826,4221,49.7
45,Male,172,137.9,46.6,Maintenance,4610,7,343,6307,137.7
43,Male,176,69.6,22.5,Muscle Gain,3732,4,348,1360,70.5
19,Male,188,127.1,36.0,General Fitness,2872,2,128,574,126.3
42,Male,154,40.4,17.0,Muscle Gain,1624,5,495,3130,41.7
20,Female,194,42.1,11.2,Muscle Gain,2969,7,693,1981,43.1
25,Male,162,86.6,33.0,Muscle Gain,1884,5,450,2210,88.0
50,Male,148,63.9,29.2,General Fitness,4963,5,460,1525,64.0
59,Male,153,109.0,46.6,Weight Loss,4678,4,360,3212,106.6
52,Male,151,96.6,42.4,Muscle Gain,1318,4,344,2216,97.0
23,Male,194,47.7,12.7,Muscle Gain,4816,5,160,1100,48.3
56,Female,152,56.3,24.4,General Fitness,4717,1,74,205,56.2
40,Male,187,78.8,22.5,General Fitness,4195,5,220,2100,78.0
42,Male,151,58.6,25.7,Maintenance,2395,1,46,286,59.0
60,Male,185,119.2,34.8,Maintenance,2374,2,88,1782,118.4
36,Female,184,81.6,24.1,Weight Loss,2346,1,34,652,79.3
22,Female,147,49.3,22.8,Weight Loss,1487,7,805,3787,46.4
28,Male,161,88.4,34.1,Weight Loss,1450,0,0,0,87.5
29,Male,146,49.1,23.0,Weight Loss,1352,3,120,1653,47.1
27,Female,159,52.9,20.9,Muscle Gain,2139,0,0,0,53.4
25,Female,190,64.0,17.7,General Fitness,4002,0,0,0,64.0
41,Female,173,126.0,42.1,Maintenance,4084,4,272,1248,127.0
45,Male,194,132.5,35.2,Muscle Gain,2940,3,288,2346,134.1
58,Male,192,122.6,33.3,General Fitness,3367,4,336,1428,122.3
53,Female,196,73.4,19.1,General Fitness,4236,1,71,436,73.0
54,Male,166,67.2,24.4,Muscle Gain,4791,5,520,4490,69.2
38,Female,148,94.9,43.3,Muscle Gain,3132,6,204,2652,95.3
25,Female,196,112.2,29.2,Maintenance,1247,6,486,2190,111.1
26,Female,150,139.3,61.9,Weight Loss,4503,6,306,1398,137.1
32,Male,182,53.2,16.1,Weight Loss,1567,1,106,454,52.0
57,Female,170,44.9,15.5,Maintenance,1683,3,219,1503,45.8
35,Female,155,109.4,45.5,Maintenance,4724,2,228,838,109.6
59,Male,170,123.2,42.6,Weight Loss,1643,1,88,231,122.8
37,Female,161,124.6,48.1,Muscle Gain,1478,0,0,0,126.3
23,Male,168,107.8,38.2,Weight Loss,3760,3,150,2124,105.2
29,Female,172,135.4,45.8,General Fitness,1367,3,279,2043,135.4
19,Male,179,91.1,28.4,General Fitness,4872,1,97,432,90.7
24,Female,175,131.4,42.9,Maintenance,2844,1,76,414,132.3
33,Female,157,136.8,55.5,Weight Loss,1356,4,256,1764,134.3
20,Female,198,124.7,31.8,Weight Loss,3455,4,464,1776,123.3
20,Female,179,71.0,22.2,General Fitness,2368,0,0,0,71.1
44,Female,160,59.6,23.3,Weight Loss,3226,7,595,2863,57.7
60,Male,159,94.8,37.5,Maintenance,4496,3,243,2763,95.0
57,Male,187,85.3,24.4,Maintenance,4612,6,450,3750,85.3
55,Female,162,127.8,48.7,General Fitness,2466,2,76,542,128.2
50,Female,191,50.0,13.7,Weight Loss,2842,2,174,1746,47.8
45,Female,181,65.8,20.1,Weight Loss,4377,3,156,1131,64.5
18,Male,192,115.2,31.2,General Fitness,3414,0,0,0,115.0
25,Male,192,49.5,13.4,Muscle Gain,2059,6,540,2988,50.6
54,Female,193,72.1,19.4,Muscle Gain,3510,4,152,1860,73.8
49,Male,185,78.7,23.0,Weight Loss,2644,4,328,2876,76.6
60,Female,171,102.3,35.0,Maintenance,1827,4,388,2776,102.4
54,Female,199,55.8,14.1,Muscle Gain,2169,2,156,948,56.2
21,Female,179,126.1,39.4,Weight Loss,2811,2,236,1808,124.4
47,Male,196,84.8,22.1,Muscle Gain,2924,0,0,0,85.7
23,Female,189,131.7,36.9,General Fitness,3193,2,154,504,131.3
36,Female,198,86.8,22.1,Muscle Gain,3427,1,111,807,88.0
49,Female,179,67.5,21.1,Muscle Gain,1167,2,72,1198,68.2
26,Male,172,54.2,18.3,General Fitness,4840,4,240,2452,53.2
29,Male,183,40.4,12.1,Maintenance,4346,0,0,0,41.1
28,Male,182,93.2,28.1,Weight Loss,1086,3,270,2565,90.5
33,Female,153,50.7,21.7,Maintenance,1153,3,102,2064,51.6
18,Male,156,79.2,32.5,Maintenance,3544,0,0,0,80.1
38,Female,159,98.9,39.1,Muscle Gain,4868,1,51,506,101.1
47,Male,165,67.6,24.8,Weight Loss,1314,3,138,1848,66.4
